지원금명,상태,카테고리,지역,신청기간,지원내용,상세URL
서해랑 쉼해랑 부안 웰니스 걷기 여행 B코스,마감,투어/체험,전북 부안군,2026년 5월 16일 ~ 2026년 5월 16일,"* 가격: 44,900원 (정가 95,000원 → 지원금 반영 할인)",https://www.masil.io/programs/e1fae353-b828-4490-9aab-d39fc67d851d
썸팅 플레이스 인 안동 - 3회차/4회차,마감,한달살기,경북,2025년 2월 7일 ~ 2025년 2월 23일,"참가자 만남·교류, 예술체험, 관광지 미션투어, 설렘의 밤 파티, 커플매칭 지원",https://www.masil.io/programs/4b2bb76c-ed0e-4fd6-94b5-3aecab099783
"2025 푸른 뱀의 해, 설 맞이 EVENT",마감,한달살기,부산,2025년 1월 23일 ~ 2025년 2월 2일,"신세계 모바일 상품권 50,000원",https://www.masil.io/programs/ee217b24-4167-4ee1-9079-42a7f0908f58
코리아둘레길 : 남해 시금치 레이스,마감,한달살기,경남 남해군,2024년 12월 13일 ~ 2024년 12월 22일,"2박3일 숙소(팜프라촌 스테이 2인1실/독채), 시금치 레이스 프로그램, 완주 기념품 지원",https://www.masil.io/programs/d455f64b-c5ee-4f38-9aba-175085d66433
여수시 '가온마을 3주살이 5기',마감,살아보기,전남 여수시,2025년 1월 13일 ~ 2025년 1월 24일,"공연·전시, 청년 강의, 하루 한 끼, 숙소, 여수 로컬 콘텐츠 지원",https://www.masil.io/programs/495d07d1-8db0-43dc-95e6-e88031411838
금산시나브로치유길 인플루언서 팸투어 모집,마감,투어/체험,충남 금산군,2025년 1월 10일 ~ 2025년 1월 18일,"전액지원(집결~해산 교통, 식사, 체험, 숙박, 여행자보험, 기념품)",https://www.masil.io/programs/5d247f16-c217-4b90-962b-b15cf109100f
고창 친환경 관광 캠페인 체험단 '그린 프렌즈',마감,한달살기,전북,2024년 11월 23일 ~ 2024년 12월 15일,"친환경 트래블 키트 + 활동비(원고료 1건당 100,000원)",https://www.masil.io/programs/04b59ae2-5a36-4c99-b414-e932058b7ba6
나만의 인천 여행 코스는? 여행 경비 지원 이벤트,마감,한달살기,인천,2024년 11월 19일 ~ 2024년 11월 19일,"팀별 최대 500,000원 지원",https://www.masil.io/programs/5a5b00c1-ffcf-4cd1-8b0d-7dfb8c340637
"더 시즌즈(The Seasons): 가평 관광 체험기, Winter Feel 가평",마감,한달살기,경기,2024년 11월 25일 ~ 2024년 12월 15일,"1박 숙박 최대 30,000원 + 1일 관광(체험) 최대 20,000원 실비 지원",https://www.masil.io/programs/0cde2052-c1f7-43b9-9c3f-575d75d3ea73
근대어때투어,마감,투어/체험,전북,2024년 12월 7일 ~ 2024년 12월 8일,"3끼 식사·숙박·전통시장 쿠폰 지원, 미션 성공 시 선물 증정",https://www.masil.io/programs/d90f469f-6331-4459-97db-0ce15a0bbcb7
겨울 영월에서 일주일 살기 「Check-in 영월」 참여자 모집 공고,마감,살아보기,강원 영월군,2025년 1월 4일 ~ 2025년 3월 2일,숙박비 및 체험·입장료 실비 지원,https://www.masil.io/programs/972cb933-0253-4af3-830e-a172d28a2ccb
12월 남해 워케이션 숙박/교통비 지원사업,마감,워케이션,경남 남해군,2024년 12월 1일 ~ 2024년 12월 31일,"숙박비 1박 최대 50,000원(최대 3박 150,000원) + 왕복 교통비 최대 50,000원 + 여행자보험 최대 5,000원",https://www.masil.io/programs/2029d155-4b70-488c-b996-ea20f8dcc2eb
여행가는 달 철도 할인 프로모션,마감,할인/혜택,전국,2025.03.07 ~ 2025.04.06,"KTX 연계 관광상품 주중 50%·주말/공휴일 30% 할인, 5개 관광열차 50% 할인, 내일로패스 1만원 할인",https://www.masil.io/programs/59a9a2c6-2a01-4255-bb97-b60af05def80
여행가는 달 렌터카 할인 프로모션,마감,할인/혜택,전국,2025.02.28 ~ 2025.03.31,렌터카 최대 50% 할인,https://www.masil.io/programs/020f46ba-378c-427e-8048-c5e81cb1fc3b
소호259 멤버십 위크(1/10~1/26),마감,한달살기,강원,2025년 1월 10일 ~ 2025년 1월 31일,소호259 숙박 연간이용권 10박 11일 10만원(선착순 100명),https://www.masil.io/programs/6cdc9be6-970b-4154-aaf7-eeb608919e61
성주군 야간관광 SNS 서포터즈 모집,마감,서포터즈,경북,2025년 3월 1일 ~ 2025년 10월 31일,SNS 콘텐츠 제작·홍보 실적에 따라 활동비 차등 지급,https://www.masil.io/programs/c1410e13-42ed-4717-909d-98b029f0f00b
대한민국 구석구석 대학생 기자단 트래블리더 17기 모집,마감,서포터즈,전국,2025.01.23 ~ 2025.02.17,"국내 팸투어·여행 콘텐츠 교육 제공, 미션 수행에 따른 미션비 지급, 수료증 및 우수활동자 시상",https://www.masil.io/programs/ba75ed88-d906-461a-8074-d2568c7a6590
여행으로-컬 소도시여행 이벤트,마감,한달살기,전국,2025.03.04 ~ 2025.03.13,참가비 1인 2만5천원 제외 여행경비 전액 지원(추첨),https://www.masil.io/programs/564098da-ac77-4720-a8d9-6c76734ca8bd
제2기 잼잼발굴단 모집,마감,한달살기,울산,2025년 4월 1일 ~ 2025년 6월 8일,"숙박·체험·여행자보험·울산 내 교통비 지원, 팀당 최대 100만원",https://www.masil.io/programs/512d07a5-a950-48aa-8931-f285a94cb952
3월 여행가는 달,마감,한달살기,광주,2025.03.04 ~ 2025.03.16,"KTX 주중 최대 50%·주말/공휴일 최대 30%, 관광열차 최대 50% 등 교통·숙박·관광 할인",https://www.masil.io/programs/268b6d83-beae-44ac-b0bc-6b50e96614e8
