year,방문건수_가중합,여행지출총액_가중합,지역,지자체예산_자체재원
2023,9629350.542883413,1017977880309.0929,서울,407025360037
2024,10718332.650154445,1180592467141.3054,서울,452627716852
2025,11286135.661012873,1179314124317.8826,서울,407796935600
2023,12077032.959654996,2032048340720.5886,부산,177949257496
2024,12459842.926076554,2173400401587.6145,부산,137121625337
2025,11925244.39176126,2215281958565.779,부산,135678326320
2023,3449882.8629612043,430769632433.8378,대구,109069529898
2024,3578714.409641636,458193183814.65356,대구,151850910798
2025,3361378.743234622,414519405691.6834,대구,147471843840
2023,9871062.41543979,754169615657.7406,인천,155447508664
2024,9785877.677512696,840497824165.7208,인천,128447029391
2025,9719898.930255365,807196972890.9832,인천,110680258581
2023,1538825.8367405767,188098822478.61026,광주,73476706808
2024,1364477.0680309443,153363101692.0243,광주,69034876783
2025,1540892.6650863579,200207436423.42126,광주,59108394070
2023,3591263.0608579726,344287028439.85236,대전,49157900672
2024,3368461.529183418,308064773026.35834,대전,85020779245
2025,3588425.380552748,384078967166.57825,대전,75290867173
2023,3943449.601682837,338319784453.269,울산,85054705726
2024,4065577.7359761,343539750701.38293,울산,104275343404
2025,3423156.705975168,288656139790.0089,울산,110574858472
2023,1171359.7509550296,84313240316.40521,세종,14610360669
2024,1397521.3290411043,97702293721.00824,세종,12587784220
2025,1484586.7085423167,92978384632.0817,세종,8936258069
2023,46667270.167920575,3552057808413.7847,경기,664527585796
2024,51016220.713314794,3861507159162.658,경기,827456262703
2025,52133937.866664894,4172549025586.901,경기,689372881651
2023,37873948.3297103,6107360082109.218,강원,762866316697
2024,31070009.898737837,5234109146451.788,강원,801065663512
2025,32749380.66096197,5665266498246.672,강원,783158142302
2023,10644064.939200725,1028466852698.5021,충북,458096604708
2024,11052202.651832292,1103966547596.9048,충북,433684658133
2025,11417665.294579614,1236936282491.2263,충북,445616371460
2023,21245571.193606712,2199124232163.994,충남,612615885094
2024,21783258.825006835,2284885718471.4233,충남,646594032066
2025,23018783.04556035,2439586226665.971,충남,730783624269
2023,16708137.989528881,1717118132054.3867,전북,622831557620
2024,15328349.36054814,1667106393018.7402,전북,611565921616
2025,15667106.031215616,1870941094263.4705,전북,572874039881
2023,24511637.370422706,2972900259648.854,전남,947166194102
2024,23704714.533383187,3009332743919.7617,전남,917695103384
2025,22647730.01587192,3118877476819.9478,전남,915535681951
2023,24671837.407033056,2828103816275.2676,경북,1045064013605
2024,23366518.52001916,2615814037671.1533,경북,1050532129195
2025,23808557.1728867,2967757785095.362,경북,1101780364163
2023,26696466.75205813,2863814185430.877,경남,744524998728
2024,25793392.51343421,2811822600223.6006,경남,763696439328
2025,26868921.27278267,3041102998731.996,경남,795809928525
2023,12422346.041131318,6888958501282.683,제주,152306350400
2024,11551327.981224028,6135837936508.08,제주,162343992613
2025,11137358.95532927,6257285116540.708,제주,186360084700
