지역,자치단체,회계,세부사업명,계,국비,시도비,시군구비,기타,지출액,집행잔액,분야,세부분야,연도
서울,본청,일반회계,(가칭) 송현동 빛축제,1792000000,0,1792000000,0,0,1788369570,3630430,문화및관광,관광,2023
서울,본청,일반회계,(가칭)이순신 장군 기념관 건립,100000000,0,100000000,0,0,10000000,90000000,문화및관광,문화및관광일반,2023
서울,본청,일반회계,2023 세계잼버리 비상대피 후 지자체 비용보전,115497000,115497000,0,0,0,115496720,280,문화및관광,관광,2023
서울,본청,일반회계,2023년 관광특구 활성화 지원(문체부),250000000,250000000,0,0,0,250000000,0,문화및관광,관광,2023
서울,본청,일반회계,DDP 시설개보수 및 콘텐츠공간 리뉴얼,2810000000,0,2810000000,0,0,2810000000,0,문화및관광,문화및관광일반,2023
서울,본청,일반회계,MICE 유치 및 개최 지원,4261000000,0,4261000000,0,0,3890455170,370544830,문화및관광,관광,2023
서울,본청,일반회계,고택 종갓집 활용,35000000,20000000,15000000,0,0,35000000,0,문화및관광,문화재,2023
서울,본청,일반회계,공공디자인 발굴 및 표준화,535280000,0,535280000,0,0,326798000,208482000,문화및관광,문화및관광일반,2023
서울,본청,일반회계,공공미술위원회 운영,40000000,0,40000000,0,0,36228750,3771250,문화및관광,문화및관광일반,2023
서울,본청,일반회계,공공미술작품 유지관리,525900000,0,525900000,0,0,406362400,119537600,문화및관광,문화및관광일반,2023
서울,본청,일반회계,공공시설물 표준디자인 개발,240000000,0,240000000,0,0,228024500,11975500,문화및관광,문화및관광일반,2023
서울,본청,일반회계,공원 환경보호를 위한 행동유도 안내사인 디자인,350000000,0,350000000,0,0,226620000,123380000,문화및관광,문화및관광일반,2023
서울,본청,일반회계,공중화장실 유니버설디자인 적용,134000000,0,134000000,0,0,124000000,10000000,문화및관광,문화및관광일반,2023
서울,본청,일반회계,관광스타트업 육성 지원,1380000000,0,1380000000,0,0,1380000000,0,문화및관광,관광,2023
서울,본청,일반회계,관광취약계층 대상 여행활동지원,822000000,0,822000000,0,0,800000000,22000000,문화및관광,관광,2023
서울,본청,일반회계,관광특구 활성화 및 환대분위기 조성,1471700000,0,1471700000,0,0,1470200000,1500000,문화및관광,관광,2023
서울,본청,일반회계,국가무형문화재 전승공동체 활성화 지원,137625000,91750000,45875000,0,0,137625000,0,문화및관광,문화재,2023
서울,본청,일반회계,국가지정문화재 방범·방재시설 구축,12000000,6000000,6000000,0,0,10711000,1289000,문화및관광,문화재,2023
서울,본청,일반회계,국가지정문화재 방범·방재시설 유지관리,231000000,161700000,69300000,0,0,231000000,0,문화및관광,문화재,2023
서울,본청,일반회계,국가지정문화재 보수정비,41697317040,28844089928,12853227112,0,0,38630080520,3067236520,문화및관광,문화재,2023
서울,본청,일반회계,권역별 공공미술 작품구현,1442000000,0,1442000000,0,0,1282162200,159837800,문화및관광,문화및관광일반,2023
서울,본청,일반회계,기증자료 특별전시회 운영,162700000,0,162700000,0,0,162389440,310560,문화및관광,문화재,2023
서울,본청,일반회계,기증자료정리 및 목록발간,51000000,0,51000000,0,0,50597450,402550,문화및관광,문화재,2023
서울,본청,일반회계,남산골 한옥마을 및 전통정원 운영,2219015000,0,2219015000,0,0,2203836600,15178400,문화및관광,문화재,2023
서울,본청,일반회계,남산봉수의식 등 전통문화행사,626300000,0,626300000,0,0,624900000,1400000,문화및관광,문화재,2023
서울,본청,일반회계,다국어 관광안내 표지판 설치(전환사업),195800000,0,195800000,0,0,190697000,5103000,문화및관광,관광,2023
서울,본청,일반회계,덕수궁 왕궁수문장 교대의식 재현,2197464000,0,2197464000,0,0,2084991620,112472380,문화및관광,문화재,2023
서울,본청,일반회계,도시민박업 및 한옥체험업 활성화 지원,526000000,0,526000000,0,0,473907620,52092380,문화및관광,관광,2023
서울,본청,일반회계,디자인 공예문화산업 활성화 지원,50000000,0,50000000,0,0,46783500,3216500,문화및관광,문화및관광일반,2023
서울,본청,일반회계,디자인 스타트업 육성 및 생존력 강화,400000000,0,400000000,0,0,383885200,16114800,문화및관광,문화및관광일반,2023
서울,본청,일반회계,디자인도시 서울,283279000,0,283279000,0,0,276649264,6629736,문화및관광,문화및관광일반,2023
서울,본청,일반회계,디자인산업 육성 및 활성화 기본계획 수립,250000000,0,250000000,0,0,161566360,88433640,문화및관광,문화및관광일반,2023
서울,본청,일반회계,디자인산업 정책자문단 운영,19000000,0,19000000,0,0,12555000,6445000,문화및관광,문화및관광일반,2023
서울,본청,일반회계,디지털 관광안내표지판 운영,100000000,0,100000000,0,0,81644750,18355250,문화및관광,관광,2023
서울,본청,일반회계,몽촌역사관 전시개편,2805000000,0,2805000000,0,0,2568167000,236833000,문화및관광,문화재,2023
서울,본청,일반회계,몽촌토성 위탁관리,1198863000,0,1198863000,0,0,1198863000,0,문화및관광,문화재,2023
서울,본청,일반회계,무형문화재 전수교육관 활성화 사업,142000000,76000000,66000000,0,0,141220000,780000,문화및관광,문화재,2023
서울,본청,일반회계,무형문화재 전수시설 운영,1314015000,0,1314015000,0,0,622063900,691951100,문화및관광,문화재,2023
서울,본청,일반회계,무형문화축제,220000000,0,220000000,0,0,206500000,13500000,문화및관광,문화재,2023
서울,본청,일반회계,문화유적 지표조사 및 보존방안 업데이트,50000000,0,50000000,0,0,0,50000000,문화및관광,문화재,2023
서울,본청,일반회계,문화유적지 표석설치,85000000,0,85000000,0,0,55343700,29656300,문화및관광,문화재,2023
서울,본청,일반회계,문화재 돌봄,975025000,551100000,423925000,0,0,975025000,0,문화및관광,문화재,2023
서울,본청,일반회계,문화재 방범·방재시설 구축,656000000,0,656000000,0,0,654009500,1990500,문화및관광,문화재,2023
서울,본청,일반회계,문화재 방범·방재시설 유지관리,191800000,0,191800000,0,0,182323300,9476700,문화및관광,문화재,2023
서울,본청,일반회계,문화재 실측도면 제작,385000000,0,385000000,0,0,186133200,198866800,문화및관광,문화재,2023
서울,본청,일반회계,문화재 안내판 신설 정비,45800000,22460000,23340000,0,0,45800000,0,문화및관광,문화재,2023
서울,본청,일반회계,문화재 안전경비원 배치,3818000000,0,3818000000,0,0,3472804080,345195920,문화및관광,문화재,2023
서울,본청,일반회계,문화재 정기조사,180000000,0,180000000,0,0,163050000,16950000,문화및관광,문화재,2023
서울,본청,일반회계,문화재 조사 및 문화재위원회 운영,509500000,0,509500000,0,0,507150000,2350000,문화및관광,문화재,2023
