지역,월,표본수(n),방문건수_가중합,1인평균지출_가중평균,1인평균지출_중앙값,혼잡도지수
강원,1,558,7444525.903047595,161475.60921272647,149000.0,92.78
강원,2,513,6336167.101845127,162327.74441897054,147500.0,78.96
강원,3,530,6434989.301754505,156376.26244002455,133334.0,80.2
강원,4,524,6117376.049976136,156576.76481364432,133334.0,76.24
강원,5,642,8376940.768409669,160393.87058963065,133334.0,104.4
강원,6,638,8005144.84991893,161349.61339049228,139333.0,99.76
강원,7,811,10318151.37449797,191973.04651713985,168335.0,128.59
강원,8,872,11234450.6636063,196768.0225656245,166667.0,140.01
강원,9,601,7932437.832506606,167220.17393195338,144000.0,98.86
강원,10,670,8647400.807839867,171616.70098106188,150000.0,107.77
강원,11,578,6929025.805252342,158347.55075508877,130000.0,86.35
강원,12,660,8512118.367985398,167768.43388820416,150000.0,106.08
경기,1,652,9424987.444506614,78953.73086841441,60000.0,80.84
경기,2,704,10525993.110159677,76400.18575391723,55000.0,90.29
경기,3,778,11442956.816065546,73588.86736256676,51250.0,98.15
경기,4,853,12567449.272482714,73836.51810815162,50000.0,107.8
경기,5,904,13408269.190193746,73776.70932858756,55000.0,115.01
경기,6,861,12955261.593841191,77337.04928872715,56666.0,111.12
경기,7,809,11709424.35745889,86530.81640822861,66666.0,100.44
경기,8,811,11748748.729529666,88397.86274486232,66667.0,100.78
경기,9,769,11253647.246391242,78061.54928853994,55666.0,96.53
경기,10,816,11905234.448175224,75517.46278398094,53333.0,102.12
경기,11,786,11992157.998961195,76586.69629002427,53666.0,102.86
경기,12,737,10966144.928307846,79917.2483641748,56500.0,94.06
경남,1,548,5709088.022434866,107808.55160023704,76500.0,92.51
경남,2,499,5033396.831339503,107184.64908631131,77917.0,81.56
경남,3,685,6759462.334407719,107870.76932799074,76500.0,109.53
경남,4,626,6324679.671447861,105713.84579927244,76000.0,102.49
경남,5,677,6748098.957813962,107041.20314793152,75000.0,109.35
경남,6,589,5837803.526187904,105110.60071097432,77750.0,94.6
경남,7,616,6274345.413415576,123933.96122875332,95000.0,101.67
경남,8,720,7093518.783572839,127085.7466379651,100000.0,114.95
경남,9,613,6364979.895212658,103872.28838782205,75000.0,103.14
경남,10,650,6722307.769985316,113600.69823199805,83334.0,108.93
경남,11,588,5699427.930851474,109560.00479147902,90000.0,92.36
경남,12,557,5485661.925083361,116857.9231512232,84000.0,88.89
경북,1,517,4843719.883910143,111527.62759685492,97000.0,86.94
경북,2,540,4955803.257279717,116268.84455709644,95100.0,88.95
경북,3,566,5648007.625159498,131714.61119365986,80000.0,101.38
경북,4,593,5640638.514463586,119293.34375225432,77000.0,101.24
경북,5,606,5709054.7657290045,138682.67648320855,90500.0,102.47
경북,6,584,5442053.984380638,117038.78672113844,75750.0,97.68
